quality_score,Owner,Country_of_Origin,Farm_Name,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Harvest_Year,Grading_Date,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,Expiration,Certification_Body,Certification_Address,Certification_Contact,Altitude_Units,Lower_Altitude,Upper_Altitude
83.83,FILEMON MENDOZA CAMPOS,Mexico,PREDIO CAÑADA DEL ENCINO,,PETATLAN,FILEMON MENDOZA CAMPOS,20,1,AMECAFE,2012,"July 26th, 2012",Bourbon,Completed,Natural / Dry,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,Sample  83.83,10%,0 full defects,0,Green,2 full defects,"July 26th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1218,
83.83,ALFREDO BOJALIL,Mexico,FINCA SANTA TERESA,ECOMTRADING,"LA CONCORDIA, CHIAPAS",ERNST POHLENZ AGUILAR,250,1,AMECAFE,2012,"June 6th, 2012",Pacas,Completed,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,Sample  83.83,11%,0 full defects,0,,4 full defects,"June 6th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1300,
83.83,Jacques Pereira Carneiro,Brazil,Fazenda do Sertão,Exportadora de Cafés Carmo de Minas LTDA,Carmo de Minas,Nazareth Dias Pereira,300,1,NUCOFFEE,2011/2012,"December 21st, 2011",Yellow Bourbon,Completed,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,Sample  83.83,12%,0 full defects,0,Green,3 full defects,"December 20th, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1250,
83.83,Doi Chaang Coffee Company,Thailand,"Doi Chaang Coffee Original Co.,Ltd",,"Doi Chaang Villiang, Chiang Rai, Thialand",Doi Chaang Community Enterprise Piko,175,50,Specialty Coffee Association,2011,"September 20th, 2011",,Completed,,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,Sample  83.83,2%,0 full defects,0,,2 full defects,"September 19th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,4921,
83.83,Doi Tung Development Project,Thailand,Doi Tung Development Project,,,,1,60,Specialty Coffee Association,2011,"August 16th, 2011",,Completed,,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,Sample  83.83,1%,0 full defects,0,,0 full defects,"August 15th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
83.83,Ethiopia Commodity Exchange,Ethiopia,"Phone number | 0911-51-08-01, Email | at",,Sidamo,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2010,"June 17th, 2010",,Completed,,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,Sample  83.83,10%,0 full defects,0,,3 full defects,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,
83.75,Kennedy Macharia,Kenya,,TAYLOR WINCH (COFFEE) LTD,NYERI COUNTY,KAROGOTO,200,60,Kenya Coffee Traders Association,,"January 11th, 2018",SL28,Completed,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,Sample  83.75,11%,0 full defects,0,Green,2 full defects,"January 11th, 2019",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,meters,1800,
83.75,Ipanema Coffees,Brazil,Fazenda Capoeirinha,Ipanema Coffees,South of Minas Gerais,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Bourbon,Completed,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,Sample  83.75,11%,0 full defects,0,Green,5 full defects,"October 20th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,890,
83.75,CARCAFE LTDA CI,Colombia,,CARCAFE LTDA CI,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70,Almacafé,2017,"September 28th, 2017",Caturra,Completed,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,Sample  83.75,11%,0 full defects,0,Green,1 full defects,"September 28th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
83.75,"Lin, Che-Hao Krude 林哲豪",Taiwan,崁頭山咖啡館 (Kan Tou Mountain Coffee),Taiwan Coffee Laboratory,"台南市東山區 (Dongshan Dist., Tainan City)",曾如楓 & 郭俊宏 (Tseng Ju Feng & Kuo Jun Hong),10,10,Specialty Coffee Association,2016,"June 6th, 2017",Typica,Completed,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,Sample  83.75,0%,0 full defects,0,Green,0 full defects,"June 6th, 2018",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,750,
83.75,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,275,70,Almacafé,2016,"February 15th, 2017",,Completed,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,Sample  83.75,0%,1 full defects,0,Green,4 full defects,"February 15th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,
83.75,Yunnan Coffee Exchange,China,Pu’er Specialty Coffee Cupping Center,Yunnan Coffee Exchange,Yunnan Province Pu'er City Menglian County,Pu’er Specialty Coffee Cupping Center,3,60,Yunnan Coffee Exchange,2015,"April 6th, 2016",Catimor,Completed,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,Sample  83.75,10%,0 full defects,1,Green,2 full defects,"April 6th, 2017",Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,meters,1650,
83.75,CARCAFE LTDA CI,Colombia,,CARCAFE LTDA,HUILA,FRANKLIN DUSSAN,250,70,Almacafé,2015/2016,"November 27th, 2015",Caturra,Completed,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,Sample  83.75,0%,0 full defects,0,Green,0 full defects,"November 26th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
83.75,Nile Highland Arabica Coffee Farmers,Uganda,Erussi Farmers group,Nile Highlands Arabica Coffee Farmers,West Nile,Nile Highland Arabica Coffee Farmers,320,60,Uganda Coffee Development Authority,2013,"June 30th, 2014",Bourbon,Completed,Natural / Dry,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,Sample  83.75,12%,0 full defects,0,Green,0 full defects,"June 30th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,meters,1400,
83.75,German Negron,United States (Puerto Rico),Hacienda Caracolillo,"Hacienda Alto Grande, LLC.",Yauco Region,Hacienda Alto Grande,18,2.26796,Specialty Coffee Association,2013,"June 9th, 2014",Other,Completed,Washed / Wet,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,Sample  83.75,12%,0 full defects,0,Green,1 full defects,"June 9th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,2800,
83.75,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,100,70,Almacafé,2014,"February 5th, 2014",Caturra,Completed,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,Sample  83.75,0%,0 full defects,0,Green,5 full defects,"February 5th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
83.75,Olam Agro Colombia,Colombia,,Olam international Ltd,Huila,,250,70,Almacafé,2014,"January 24th, 2014",Other,Completed,Washed / Wet,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,Sample  83.75,0%,0 full defects,0,Green,3 full defects,"January 24th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1500,1600
83.75,Exportadora de Cafe Condor S.A,Colombia,,Exportadora de Cafe Condor S.A,Huila,,250,70,Almacafé,2013,"November 22nd, 2013",Caturra,Completed,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,Sample  83.75,0%,0 full defects,0,Blue-Green,1 full defects,"November 22nd, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1750,
83.75,Exportadora de Cafe Condor S.A,Colombia,,Exportadora de Cafe Condor S.A,huila,,275,70,Almacafé,2013,"August 27th, 2013",Caturra,Completed,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,Sample  83.75,11%,0 full defects,0,Green,3 full defects,"August 27th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1750,
83.75,Kona Pacific Farmers Cooperative,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,12,45.3592,Specialty Coffee Association,2013,"May 2nd, 2013",Hawaiian Kona,Completed,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,Sample  83.75,0%,0 full defects,0,Bluish-Green,0 full defects,"May 2nd, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
83.75,SAUL M. HERNANDEZ RAMIREZ,Mexico,NARANJAL,,"HUAZALINGO, HIDALGO","MARTINEZ MAGDALENA, AGAPITA",10,1,AMECAFE,2012,"September 27th, 2012",Caturra,Completed,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,Sample  83.75,13%,5 full defects,0,None,5 full defects,"September 27th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,700,
83.75,The Coffee Source Inc.,Guatemala,Several farms,The Coffee Source Inc.,Quetzaltenango,Several producres,250,1.360776,Specialty Coffee Association,2012,"May 24th, 2012",Caturra,Completed,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,Sample  83.75,11%,0 full defects,0,Bluish-Green,1 full defects,"May 24th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1300,
83.75,CARCAFE LTDA CI,Colombia,,,Cauca,Carlos Peneche/Jesus Peneche/Flor Chacón,275,70,Almacafé,Jan-11,"April 20th, 2011",,Completed,,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,Sample  83.75,10%,0 full defects,0,,1 full defects,"April 19th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1600,
83.75,Exportadora de Cafe Condor S.A,Colombia,,,cundinamarca,,250,70,Almacafé,4T/10,"February 9th, 2011",,Completed,,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,Sample  83.75,6%,0 full defects,0,,1 full defects,"February 9th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1600,
83.75,Kona Pacific Farmers Cooperative,United States (Hawaii),,,Kona,,4,1,Specialty Coffee Association,,"June 29th, 2010",,Completed,,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,Sample  83.75,0%,0 full defects,0,,0 full defects,"June 29th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
83.67,Ipanema Coffees,Brazil,Fazenda Capoeirinha,Ipanema Coffees,South of Minas Gerais,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Bourbon,Completed,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,Sample  83.67,11%,0 full defects,0,Green,2 full defects,"October 20th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,890,
83.67,Kennedy Macharia,Kenya,,TAYLOR WINCH (COFFEE) LTD,MERU COUNTY,NCHOROIBORO / KIRIANI FACTORY,200,60,Kenya Coffee Traders Association,2017,"September 1st, 2017",SL28,Completed,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,Sample  83.67,11%,0 full defects,0,Bluish-Green,0 full defects,"September 1st, 2018",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,meters,1700,
83.67,Bismarck Castro,Honduras,Los Hicaques,CIGRAH S.A DE C.V,Comayagua,Reinerio Zepeda,285,69,Instituto Hondureño del Café,2016,"May 11th, 2017",Caturra,Completed,Washed / Wet,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,Sample  83.67,10%,0 full defects,0,Green,2 full defects,"May 11th, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1400,
83.67,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Nicaragua,SANTA MATILDE,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.","JINOTEGA, NICARAGUA",RONALDO LACAYO CARDENAL,275,69,Instituto Hondureño del Café,2016,"May 11th, 2017",Caturra,Completed,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,Sample  83.67,10%,0 full defects,0,Green,3 full defects,"May 11th, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1250,
83.67,Ipanema Coffees,Brazil,Capoeirinha Farm,Ipanema Coffees,South of Minas Gerais,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Bourbon,Completed,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,Sample  83.67,11%,0 full defects,2,Green,3 full defects,"August 16th, 2017",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,934,
83.67,"Lin, Che-Hao Krude 林哲豪",Taiwan,Tsoustructive Garden 鄒築園,Taiwan Coffee Laboratory,"Leye, Alishan Township, Chiayi County","FANG,ZHENG-LUN 方政倫",20,50,Specialty Coffee Association,2015,"May 18th, 2016",Caturra,Completed,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,Sample  83.67,10%,0 full defects,0,Bluish-Green,0 full defects,"May 18th, 2017",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1200,
83.67,"CECA, S.A.",Costa Rica,,"CECA,S.A.",WEST VALLEY,,275,69,Specialty Coffee Association of Costa Rica,,"March 14th, 2016",,Completed,,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,Sample  83.67,11%,0 full defects,0,Blue-Green,1 full defects,"March 14th, 2017",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,meters,1350,
83.67,Doi Tung Development Project,Thailand,,Doi Tung Development Project,THAILAND,Doi Tung Development Project,1,1,Specialty Coffee Association,2014,"June 9th, 2015",,Completed,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,Sample  83.67,12%,0 full defects,0,Bluish-Green,0 full defects,"June 8th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,800,
83.67,Rob Stephen,Colombia,,Olam Specialty Coffee,Huila,Agrotello Coop,100,0.907184,Specialty Coffee Association,2014/2015,"November 21st, 2014",Caturra,Completed,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,Sample  83.67,11%,0 full defects,0,,4 full defects,"November 21st, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1550,1700
83.67,Juan Luis Alvarado Romero,Guatemala,FINCA LAS CUEVITAS,"EXPORTCAFE, S.A.",HUEHUETENANGO,FRANCISCO LUIS MARTINEZ LOPEZ,275,69,Asociacion Nacional Del Café,2014,"February 27th, 2014",Bourbon,Completed,Washed / Wet,8,7.5,7.33,8,8,8,9.33,10,10,7.5,Sample  83.67,10%,0 full defects,0,Green,0 full defects,"February 27th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,4451,
83.67,Exportadora de Cafe Condor S.A,Colombia,VARIAS,Exportadora de Cafe Condor S.A,HUILA SUPREMO,,250,70,Almacafé,2013,"October 29th, 2013",Caturra,Completed,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,Sample  83.67,0%,0 full defects,0,Green,3 full defects,"October 29th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1750,
83.67,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,Huila,250,70,Almacafé,2013,"August 16th, 2013",Caturra,Completed,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,Sample  83.67,0%,0 full defects,0,Green,1 full defects,"August 16th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1800,2000
83.67,Juan Luis Alvarado Romero,Guatemala,LA UNION MONTEVERDE,"UNEX (GUATEMALA), S.A.",ORIENTE,"AGRICOLA MONTE VERDE, S.A.",250,69,Asociacion Nacional Del Café,2013,"May 30th, 2013",Bourbon,Completed,Washed / Wet,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,Sample  83.67,12%,1 full defects,0,Green,3 full defects,"May 30th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4300,
83.67,Juan Luis Alvarado Romero,Guatemala,EL SACRAMENTO,"UNEX (GUATEMALA),S.A",ORIENTE,LUIS RODRIGUEZ,250,69,Asociacion Nacional Del Café,2013,"February 26th, 2013",Bourbon,Completed,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,Sample  83.67,11%,0 full defects,0,Green,2 full defects,"February 26th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4300,
83.67,Exportadora de Cafe Condor S.A,Colombia,,Exportadora de Cafe Condor S.A,huila,,250,70,Almacafé,2012,"November 22nd, 2012",Caturra,Completed,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,Sample  83.67,11%,0 full defects,0,Green,1 full defects,"November 22nd, 2013",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1750,
83.67,The Coffee Source Inc.,Guatemala,Finca Quequesquez,The Coffee Source Inc.,Oriente,Finca Quequesquez,250,1,Specialty Coffee Association,2012,"August 23rd, 2012",Caturra,Completed,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,Sample  83.67,11%,0 full defects,0,Green,1 full defects,"August 23rd, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1450,
83.67,Juan Luis Alvarado Romero,Guatemala,AGROPECUARIA QUIAGRAL,"UNEX (GUATEMALA), S.A",ORIENTE,AGROPECUARIA QUIAGRAL,250,1,Asociacion Nacional Del Café,2012,"July 9th, 2012",Bourbon,Completed,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,Sample  83.67,11%,0 full defects,0,Green,13 full defects,"July 9th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4300,
83.67,JUAN LUIS ORTEGA CARBALLO,Mexico,FINCA APOXTLA,,XICOTEPEC DE JUAREZ,JUAN LUIS ORTEGA CARBALLO,48,1,AMECAFE,2012,"July 2nd, 2012",Typica,Completed,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,Sample  83.67,12%,4 full defects,0,Green,11 full defects,"July 2nd, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1100,
83.67,EKAI International Company Ltd.,Indonesia,"Ijen Highland, East Java",SCAI,East Java,PT. Perkebunan Nusantara XII,10,60,Specialty Coffee Association of Indonesia,2012,"May 23rd, 2012",Typica,Completed,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,Sample  83.67,12%,0 full defects,0,Green,0 full defects,"May 23rd, 2013",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl.Harsono RM South Jakarta",Balkis Faisal - 081284251303 / 085780031543,meters,1200,1600
83.67,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,"SIEMBRAS VISION, S.A","SACATEPEQUEZ, GUATEMALA","SIEMBRAS VISION, S.A",250,69,Asociacion Nacional Del Café,2012,"April 30th, 2012",Caturra,Completed,Washed / Wet,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,Sample  83.67,10%,0 full defects,0,Green,0 full defects,"April 30th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,5000,
83.67,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,,3,45.3592,Specialty Coffee Association,,"April 21st, 2011",,Completed,,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,Sample  83.67,0%,0 full defects,0,,0 full defects,"April 20th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
83.58,Ipanema Coffees,Brazil,Fazenda Capoeirinha,Ipanema Coffees,South of Minas Gerais,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Bourbon,Completed,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,Sample  83.58,11%,0 full defects,0,Green,5 full defects,"October 20th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,890,
83.58,Juan Luis Alvarado Romero,Guatemala,FINCA SANTA CLARA,"EXPORTCAFE, S.A.",HUEHUETENANGO,JUAN RAMIREZ MORALES,275,69,Asociacion Nacional Del Café,2016,"July 5th, 2016",Caturra,Completed,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,Sample  83.58,11%,0 full defects,1,Green,0 full defects,"July 5th, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,3702,
83.58,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,275,70,Almacafé,2016,"April 15th, 2016",Caturra,Completed,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,Sample  83.58,11%,0 full defects,0,Green,4 full defects,"April 15th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,
83.58,Yunnan Coffee Exchange,China,Menglian Mang Pan Professional Cooperative,Yunnan Coffee Exchange,Yunnan Province Pu'er City Menglian County,Menglian Mang Pan Professional Cooperative,3,60,Yunnan Coffee Exchange,2015,"April 6th, 2016",Catimor,Completed,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,Sample  83.58,10%,0 full defects,1,Green,4 full defects,"April 6th, 2017",Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,meters,1100,
83.58,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,275,70,Almacafé,2015,"November 19th, 2015",Caturra,Completed,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,Sample  83.58,12%,0 full defects,0,Green,3 full defects,"November 18th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
83.58,ANDREAS KUSSMAUL,Mexico,Exportadora Café California,Exportadora Café California,"CHIAPAS, JALTENANGO",Exportadora Café California,275,2,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2014,"May 12th, 2015",Caturra,Completed,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,Sample  83.58,12%,1 full defects,0,Green,13 full defects,"May 11th, 2016",Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,Liverpool 91 COL. Juárez CP06600. Cuauhtémoc México DF,ING. Arturo Hernández Fujigaki - +52 (55) 56984710,meters,1200,
83.58,EssenceCoffee,Ethiopia,Lomi Tasha,Essence Coffee,Yirgacheffe,LevelUp,250,60,Blossom Valley International,2014,"March 25th, 2015",Other,Completed,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,Sample  83.58,0%,0 full defects,0,,7 full defects,"March 24th, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,meters,1700,2000
83.58,Bulamburi coffee farmers association,Uganda,Bulamburi coffee farmers,Bulamburi coffee farmers association,Eastern,Bulamburi coffee farmers association,100,60,Uganda Coffee Development Authority,2013,"June 27th, 2014",SL14,Completed,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,Sample  83.58,12%,0 full defects,0,Green,5 full defects,"June 27th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,meters,1800,
